Estate_Name,District_Name,Region_Name,Map_Latitude,Map_Longitude,Type_of_Estate,Year_of_Intake,Type_of_Block,No_of_Blocks,Name_of_Block,No_of_Rental_Flats,Flat_Size_m2,Estate_Management_Advisory_Committee_EMAC,District_Tenancy_Management_Office_Estate_Office,Property_Management,Carpark_Management,Estate_Website,Further_Information,Estate_Name match,No. of PRH Flats,Authorized Population,Households
Tin Chak Estate,Yuen Long,New Territories,22.46726,113.99754,Public Rental Housing,2001,Harmony 1,6,Chak Fai House Chak Sing House Chak Sun House Chak Yun House Chak Yu House Ancillary Facilities Block,4 000 As at 30.6.2025,16.3 - 43.3,Formed,Yuen Long District Tenancy Management Office (6) 5/F  Wing B  Tin Heng Estate Carpark Building  Tin Heng Estate   Tin Shui Wai  N.T. Telephone: 3190 5130 Fax: 3190 5220,China Overseas Property Services Ltd. Unit 601  6/F  Ancillary Facilities Block  Tin Chak Estate  Tin Shui Wai Telephone: 2616 0806 Fax: 2447 7489,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinChakEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Chak,4000,10800,4000
Tin Shui (1) Estate,Yuen Long,New Territories,22.45565,113.99777,Public Rental Housing,1993,Harmony 1  Harmony 2,7,Shui Choi House Shui Chuen House Shui Kwok House Shui Lung House Shui Sing House Shui Sum House Shui Yee House,4 600 As at 30.6.2025,16.9 - 52.2,Formed,Tin Shui (1) Estate Office G/F  Shui Fai House  Tin Shui (2) Estate  Tin Shui Wai Telephone: 2445 1645 Fax: 2616 9356,Tin Shui (1) Estate Office G/F  Shui Fai House  Tin Shui (2) Estate  Tin Shui Wai Telephone: 2445 1645 Fax: 2616 9356,-,-,<a href= /en/common/pdf/global-elements/estate-locator/TinShui1Estate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Shui (I),4600,13000,4600
Tin Tsz Estate,Yuen Long,New Territories,22.45261,114.00738,Public Rental Housing,1997,Harmony 1,4,Tsz Fai House Tsz Ping House Tsz Sum House Tsz Yan House,3 300 As at 30.6.2025,12.8 - 43.3,Formed,Yuen Long District Tenancy Management Office (3) Tin Yiu 2 Estate (near Yiu Fung House)  Tin Shui Wai  Yuen Long Telephone: 2445 0418 Fax: 2617 1404,Nice Property Management Ltd. Wing C  G/F  Tsz Yan House  Tin Tsz Estate  Tin Shui Wai Telephone: 2476 8449 Fax: 2446 0674,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinTszEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Tsz,3300,8300,3300
Tin Yiu (1) Estate,Yuen Long,New Territories,22.44976,114.00506,Public Rental Housing,1992,Harmony 2  Trident 3  Trident 4,6,Yiu Foo House Yiu Hing House Yiu Man House Yiu Hong House Yiu Shing House Yiu Yat House,4 700 As at 30.6.2025,12.1 - 52.2,Formed,Yuen Long District Tenancy Management Office (3) Tin Yiu (2) Estate (near Yiu Fung House)  Tin Shui Wai Telephone: 2445 0418 Fax: 2617 1404,Modern Living Property Management Ltd. G/F  Yiu Fung House  Tin Yiu (2) Estate  Tin Shui Wai Telephone: 2448 1810 Fax: 2448 1922,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinYiuEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Yiu (II),3800,11400,3800
Tin Wah Estate,Yuen Long,New Territories,22.46069,113.99545,Public Rental Housing,1999,Harmony 1  Non-standard  Single Aspect Building,7,Wah Choi House Wah Long House Wah Sui House Wah Yuet House Wah Yat House Wah Yau House Ancillary Facilities Block,3 700 As at 30.6.2025,10.4 - 52.3,Formed,Yuen Long District Tenancy Management Office (3) Tin Yiu 2 Estate (near Yiu Fung House)  Tin Shui Wai  Yuen Long Telephone: 2445 0418 Fax: 2617 1404,Nice Property Management Ltd. G/F  Wah Long House  Tin Wah Estate  Tin Shui Wai Telephone: 2448 1723 Fax: 2253 6002,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinWahEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Wah,3700,10000,3700
Choi Ha Estate,Kwun Tong,Kowloon,22.32603,114.21825,Tenants Purchase Scheme,1989,Trident 3  Trident 4,3,Choi Sing House Choi Yat House Choi Yuet House,300 * As at 30.6.2025,Gross Floor Areas (sqm):17.9 - 71.8; Saleable Areas (sqm):13.9 - 55.6,Not applicable (Owners' Corporation Formed),Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong  Kowloon Telephone: 2349 1361 Fax: 2389 7462  Choi Ha Estate Tenants Service Management Office Easy Living Consultant Limited G/F  Ying Shun House  Choi Ying Estate   Kowloon Bay  Kowloon. Telephone: 2246 9284 Fax: 2750 1880,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Choi Ha,300,500,300
Tin Yan Estate,Yuen Long,New Territories,22.46436,113.996,Public Rental Housing,2004,Non-standard,8,Yan Lok House Yan Ying House Yan Sui House Yan Chi House Yan Fuk House Yan Chak House Yan Chui House Yan Yi House,5 600 As at 30.6.2025,8.2 - 35,Formed,Tin Yan Estate Office G/F  Yan Lok House  Tin Yan Estate   Tin Shui Wai  Yuen Long Telephone: 3152 2672  Fax: 3152 3780,Tin Yan Estate Office G/F  Yan Lok House  Tin Yan Estate   Tin Shui Wai  Yuen Long Telephone: 3152 2672  Fax: 3152 3780,Yue Xiu APT Parking Ltd 28/F  Seabright Plaza  9-23 Shell St  North Point Telephone: 2512 9611 Fax: 2512 9617 E-mail: yxaptsunny@biznetvigator.com,-,<a href= /en/common/pdf/global-elements/estate-locator/TinYanEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Yan,5600,10300,5400
Tin Yat Estate,Yuen Long,New Territories,22.46671,114.00015,Public Rental Housing,2001,New Cruciform,9,Yat Chi House Yat Hoi House Yat Kong House Yat Long House Yat Wan House Yat To House Yat Tam  House Yat Wu House Yat Yeung House,3 300 As at 30.6.2025,32.4 - 54.2,Formed,Yuen Long District Tenancy Management Office (5) G/F  Shui Fai House  Tin Shui (2) Estate   Tin Shui Wai  Yuen Long Telephone: 2445 1645 Fax: 2616 9356,Kai Fu Property Services Company LTD. G/F  Yat To House  Tin Yat Estate  Tin Sau Road  Tin Shui Wai Telephone: 2486 3088 Fax: 2486 3308,Owned and operated by private corporation,www.tinyatestate.com.hk,<a href= /en/common/pdf/global-elements/estate-locator/TinYatEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Yat,3300,10900,3300
Yan On Estate,Sha Tin,New Territories,22.41395,114.22533,Public Rental Housing,2011,Non-standard Block,3,Yan Chung House Yan Hei House Yan Yuet House,2 600 As at 30.6.2025,14.05 - 39.51,Not Yet Formed,Tai Po  North & Shatin District Tenancy Management Office (12) Unit 221 - 240  2/F  Shek Yuk House  Chun Shek Estate  Shatin  N.T. Telephone : 2694 4408 Fax : 2647 1930,China Overseas Property Services Ltd. G/F  Yan Chung House  Yan On Estate  Ma On Shan  N.T. Telephone : 3568 9498 Fax : 3568 2398,Yue Xiu Apt Parking Ltd. Car Park Office G/F  Yan On Shopping Centre (Phase 2)  Ma On Shan Telephone : 2508 6288 Fax : 2344 9964,,<a href= /en/common/pdf/global-elements/estate-locator/yanonestate-barrier-free-en.pdf target= _blank >Barrier-Free Access (BFA) Facilities</a>,Yan On,2600,5800,2600
Tin Yiu (2) Estate,Yuen Long,New Territories,22.45255,114.00374,Public Rental Housing,1993,Harmony 2,6,Yiu Cheong House Yiu Fung House Yiu Chak House Yiu Lung House Yiu Tai House Yiu Wah House,3 800 As at 30.6.2025,34.8 - 52.2,Formed,Yuen Long District Tenancy Management Office (3) Tin Yiu (2) Estate (near Yiu Fung House)  Tin Shui Wai Telephone: 2445 0418 Fax: 2617 1404,Modern Living Property Management Ltd. G/F  Yiu Fung House  Tin Yiu (2) Estate  Tin Shui Wai Telephone: 2448 1810 Fax: 2448 1922,-,-,<a href= /en/common/pdf/global-elements/estate-locator/TinYiuEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Yiu (II),3800,11400,3800
Sau Mau Ping (South) Estate,Kwun Tong,Kowloon,22.32161,114.22982,Public Rental Housing,2009,New Harmony,5,Sau Mei House Sau Tak House Sau Sin House Sau Ho House Sau Wong House,4 000 As at 30.6.2025,17.05 - 39.15,Formed,Housing Department Kowloon East (7) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  Kwun Tong  Kowloon Tel : 2349 1361 Fax : 2389 7462,Kai Fu Property Services Company Limited G/F  Sau Sin House  Sau Mau Ping South Estate  Sau Mau Ping  Kowloon. Tel : 2350 0228 Fax : 2350 0166,-,-,<a href= /en/common/pdf/global-elements/estate-locator/SauMauPingSouthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sau Mau Ping (South),4000,9600,4000
Tin Yuet Estate,Yuen Long,New Territories,22.46274,113.99939,Public Rental Housing,2000 - 2002,Harmony 1  Non-standard,6,Yuet Wah House Yuet Fu House Yuet Kwai House Yuet Tai House Yuet Wing House Ancillary Facilities Block,4 200 As at 30.6.2025,9.8 - 49.0,Formed,Tin Yuet Estate Office 1/F  Ancillary Facilities Block  Tin Yuet Estate  Tin Shui Wai Yuen Long Telephone: 2448 8863 Fax: 2448 8121,Tin Yuet Estate Office 1/F  Ancillary Facilities Block  Tin Yuet Estate  Tin Shui Wai  Yuen Long Telephone: 2448 8863 Fax: 2448 8121,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/TinYuetEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Tin Yuet,4200,11300,4100
Ko Yee Estate,Kwun Tong,Kowloon,22.29749,114.24145,Public Rental Housing,1994,Harmony 1  Small Household Block,4,Ko Chi House Ko Shing House Ko Yuet House Ko Yuen House,1 200 As at 30.6.2025,12.5 - 49.3,Formed,Housing Department Ko Yee Estate Office G/F  Ko Yuet House  Ko Yee Estate  Kowloon Telephone: 2772 0462 Fax: 2952 9120,Housing Department Ko Yee Estate Office G/F  Ko Yuet House  Ko Yee Estate  Kowloon Telephone: 2772 0462 Fax: 2952 9120,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KoYeeEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ko Yee,1200,3100,1200
Hing Tin Estate,Kwun Tong,Kowloon,22.31285,114.23877,Tenants Purchase Scheme,1987,Trident 3,3,Choi Tin House Mei Tin House Yan Tin House,200 * As at 30.6.2025,Gross Floor Areas (sqm):45.6 - 64.3; Saleable Areas (sqm):35.2 - 49.3,Not applicable (Owners' Corporation Formed),Housing Department Kowloon East (3) District Tenancy Management Office G/F  Tak King House   Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847  Hing Tin Estate Tenants Service Management Office  Creative Property Services Consultants Ltd.  7/F  Tak Yan House  Tak Tin Estate  Lam Tin Telephone: 2177 6363 Fax: 2177 6603,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats  households and authorized population under Public Rental Housing only,Hing Tin,200,500,200
Kai Tin Estate,Kwun Tong,Kowloon,22.30959,114.23492,Public Rental Housing,1997,Harmony 1,3,Kai Shun House Kai Wong House Kai Yan House,2 300 As at 30.6.2025,12.8 - 49.0,Formed,Housing Department Kowloon East (13) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847,Pacific Extend Properties Management Limited G/F.  Wing C  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 2346 1396 Fax: 2349 7022,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kai Tin,2300,5900,2200
Kai Yip Estate,Kwun Tong,Kowloon,22.32958,114.20913,Public Rental Housing,1981,Old Slab  Triple I,6,Kai Cheung House Kai Yin House Kai Lok House Kai Ning House Kai Shing House Kai Yue House,4 300 As at 30.6.2025,18.2 - 39.6,Formed,Housing Department Kai Yip Estate Office G/F  Kai Yin House  Kai Yip Estate  Kwun Tong Road  Kowloon Telephone: 2757 3710 Fax: 2757 2471,Housing Department Kai Yip Estate Office G/F  Kai Yin House  Kai Yip Estate  Kwun Tong Road  Kowloon Telephone: 2757 3710 Fax: 2757 2471,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KaiYipEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kai Yip,4300,8700,4200
Shan King Estate,Tuen Mun,New Territories,22.39895,113.9663,Tenants Purchase Scheme,1983,Double H  Old Slab  Trident 1  Trident 2,9,King Fu House King Kwai House King Wing House King Lai House King Lok House King Mei House King On House King Wah House King Yip House,3 700 * As at 30.6.2025,23.3 - 64.4,Not applicable (Owners' Corporation Formed),Tuen Mun District Tenancy Management Office (7) Unit 2  Wing A  G/F  King Mei House  Shan King Estate  Tuen Mun Telephone: 2465 1212 Fax: 2469 9785  Shan King Estate Tenants Service Management Office China Overseas Property Services Ltd. Unit C203  Podium Level  2/F  King Wah House  Shan King Estate  Tuen Mun Telephone: 3526 0435 Fax: 3526 0436,Appointed by Owners' Corporation,Owned and operated by private corporation,-,* Includes flats/households/authorized population under Public Rental Housing only,Shan King,3700,7400,3500
Kwong Tin Estate,Kwun Tong,Kowloon,22.30332,114.23977,Public Rental Housing,1992,Harmony 1  Harmony 3,4,Kwong Ching House Kwong Hin House Kwong Ngar House Kwong Yat House,2 500 As at 30.6.2025,16.9 - 52.3,Formed,Housing Department Kowloon East (13) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847,Easy Living Consultant Limited G/F  Kwong Ching House  Kwong Tin Estate  Lam Tin Telephone: 2349 8000 Fax: 2347 3086,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/KwongTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Kwong Tin,2500,6700,2300
Lok Wah South Estate,Kwun Tong,Kowloon,22.32008,114.22222,Public Rental Housing,1982,Old Slab  Trident 1,6,Chin Wah House Fai Wah House Hei Wah House Man Wah House On Wah House Wun Wah House,7 000 As at 30.6.2025,10.2 - 23.5,Formed,Housing Department Lok Wah (South) Estate Office G/F  Wun Wah House  Lok Wah (South) Estate  Ngau Tou Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,Housing Department Lok Wah (South) Estate Office G/F  Wun Wah House  Lok Wah (South) Estate  Ngau Tou Kok  Kowloon Telephone: 2755 6613 Fax: 2757 2551,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LokWahSouthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lok Wah (South),7000,12800,6800
Lok Wah North Estate,Kwun Tong,Kowloon,22.32222,114.22021,Public Rental Housing,1985,Double H,8,Kan Wah House Lap Wah House Ning Wah House Po Wah House Ping Wah House Shun Wah House Tat Wah House Yan Wah House,3 000 As at 30.6.2025,29.3 - 57.6,Formed,Housing Department Lok Wah (North) Estate Office G/F  Ping Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Housing Department Lok Wah (North) Estate Office G/F  Ping Wah House  Lok Wah (North) Estate  Ngau Tau Kok  Kowloon Telephone: 2755 5551 Fax: 2750 8597,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/LokWahNorthEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Lok Wah (North),3000,8200,2900
On Tin Estate,Kwun Tong,Kowloon,22.30781,114.23545,Public Rental Housing,2005,NCB,2,On Kin House On Lai House,700 As at 30.6.2025,32.1 - 53.6,Formed,"Housing Department Kowloon East (1) District Tenancy Management Office G/F.  Wing B  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 3749 9440		 Fax: 3749 9439",Pacific Extend Properties Management Limited Podium  On Kin House  On Tin Estate  Lam Tin Telephone: 2772 3201 Fax: 2772 7991,-,-,<a href= /en/common/pdf/global-elements/estate-locator/OnTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,On Tin,700,2500,700
Ping Tin Estate,Kwun Tong,Kowloon,22.30603,114.23608,Public Rental Housing,1996 / 1998,Harmony 1   Housing for Senior Citizen,8,Ancillary Facilities Block Ping Chun House Ping Mei House Ping Wong House Ping Yan House Ping Shing House Ping Shun House Ping Sin House,5 700 As at 30.6.2025,9.8 - 49.0,Formed,Housing Department Kowloon East (9) District Tenancy Management Office G/F  Tak King House  Tak Tin Estate  Lam Tin  Kowloon Telephone: 2772 6840 Fax: 2347 3847,Pacific Extend Properties Management Limited G/F  Ping Wong House  Ping Tin Estate  Lam Tin Telephone: 2348 8681 Fax: 2346 0390,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/PingTinEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Ping Tin,5700,14000,5500
Po Tat Estate,Kwun Tong,Kowloon,22.31712,114.23779,Public Rental Housing,2001  2003,Harmony 1  Small Household Block  New Cruciform,13,Tat Chui House Tat Fu House Tat Hong House Tat Yi House Tat Cheung House Tat Fung House Tat Yan House Tat Hei House Tat Shun House Tat Kai House Tat Hin House Tat Kwai House Tat On House,7 400 As at 30.6.2025,16.3 - 53.7,Formed,"Housing Department Kowloon East (1) District Tenancy Management Office G/F.  Wing B  Kai Yan House  Kai Tin Estate  Lam Tin  Kowloon Telephone: 3749 9440		 Fax: 3749 9439",Creative Property Services Consultants Ltd.  G/F  Tat Fu House  Po Tat Estate  Sau Mau Ping Telephone: 2243 7133 Fax: 2775 9112 Web site: www.creativepsc.com.hk,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/PoTatEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Po Tat,7400,20500,7300
Sau Mau Ping Estate,Kwun Tong,Kowloon,22.31621,114.23328,Public Rental Housing,1984  1993  1996  2000  2001  2019,Harmony1 Harmony2 Harmony3 Housing for Senior Citizen Non-standard Single Aspect Building Twin Tower,19,Ancillary Facilities Block Sau Chi House Sau Ching House Sau Fai House Sau Fu House Sau Hong House Sau King House Sau Lok House Sau Ming House Sau Nga House Sau On House Sau Wah House Sau Wai House Sau Wo House Sau Yee House Sau Yin House Sau Yat House Sau Yue House Sau Yun House,12 500 As at 30.6.2025,10.6 - 52.2,Formed,Housing Department Kowloon East (10) District Tenancy Management Office G/F  Sau Yat House  Sau Mau Ping Estate  101 Sau Mau Ping Road  Kwun Tong   Kowloon Telephone: 2349 1361 Fax: 2389 7462,Creative Property Services Consultants Ltd. G/F  Sau King House  Sau Mau Ping Estate  Sau Mau Ping Telephone: 2775 0818 Fax: 2775 6232,Owned and operated by private corporation,-,<a href= /en/common/pdf/global-elements/estate-locator/SauMauPingEstate-barrier-free-en.pdf  target= _blank >Barrier-Free Access (BFA) Facilities</a>,Sau Mau Ping,12500,33200,12300
